,19,0,
compound label,p value,adjusted p value,FC: POST/PRE
xylitol,0.833658485,0.959881424,0.960869565
xanthine,0.906755709,0.985031625,1.117540687
valine,0.871224517,0.969015024,0.918879523
uridine,0.285917599,0.880987583,1.023650697
uric.acid,0.866692931,0.969015024,0.934900807
urea,0.809021575,0.956810569,0.993351658
tyrosine,0.66014606,0.922609507,1.016270324
tryptophan,0.423221401,0.881486612,1.043736478
trehalose,0.353399222,0.880987583,0.994513032
trans.4.hydroxyproline,0.646929875,0.922609507,1.02489255
tocopherol.gamma.,0.328533551,0.880987583,0.874441964
tocopherol.alpha.,0.912989804,0.985031625,0.955027027
threonine,0.057936993,0.77703074,1.179981486
threonic.acid,0.179706019,0.880987583,1.217500224
threitol,0.395544441,0.880987583,1.158241758
taurine,0.746746919,0.956810569,1.068241789
sucrose,0.183114492,0.880987583,0.775609756
succinic.acid,0.771578807,0.956810569,1.052734375
stearic.acid,0.924555158,0.985031625,1.029081934
sorbitol,0.414899351,0.880987583,0.961438756
serine,0.391418222,0.880987583,1.042774233
salicylic.acid,0.672363062,0.922609507,1.165257494
ribose,0.020776694,0.720058853,0.793012525
ribonic.acid,0.17307158,0.880987583,1.36523126
ribitol,0.423174296,0.881486612,1.064356436
pyrophosphate,0.575896036,0.90183871,0.977515458
pseudo.uridine,0.38924028,0.880987583,0.980904037
propane.1.3.diol.NIST,0.667111249,0.922609507,1.075359271
proline,0.337482328,0.880987583,0.913231587
pipecolinic.acid,0.631650442,0.917998642,0.917525773
phosphoethanolamine,0.418429506,0.881486612,1.129366106
phosphate,0.407264261,0.880987583,1.080362727
phenylethylamine,0.588247284,0.90183871,0.702572347
phenylalanine,0.028848621,0.720058853,1.098831493
pelargonic.acid,0.464442283,0.90183871,0.856510392
palmitoleic.acid,0.19751584,0.880987583,0.925
palmitic.acid,0.401212212,0.880987583,1.023388533
oxoproline,0.598087778,0.90183871,0.940245142
oxalic.acid,0.143432877,0.880987583,1.024273215
ornithine,0.468993638,0.90183871,1.083602818
oleic.acid,0.554838483,0.90183871,1.0457598
oleamide.NIST,0.151463747,0.880987583,0.760840999
N.methylglutamic.acid,0.702696037,0.940411333,1.15074068
N.methylalanine,0.842991436,0.963786106,1.119103684
n.acetylglutamate,0.775358897,0.956810569,0.894268423
myristic.acid,0.669026657,0.922609507,1.102733686
myo.inositol,0.147695899,0.880987583,0.86735221
methionine.sulfoxide,0.054452894,0.77703074,1.513803681
methionine,0.852483814,0.963786106,0.960458799
methanolphosphate,0.567470629,0.90183871,1.039578483
mannose,0.794746846,0.956810569,1.011504544
malic.acid,0.054743847,0.77703074,0.951890034
maleimide,0.328940379,0.880987583,0.916587226
lyxitol,0.021045182,0.720058853,0.554219282
lysine,0.823860235,0.958727035,1.045250708
linoleic.acid,0.499966562,0.90183871,0.987196323
leucine,0.314899157,0.880987583,1.116534148
lauric.acid,0.286215701,0.880987583,0.769559102
lactic.acid,0.560920713,0.90183871,1.300615968
lactamide,0.759106246,0.956810569,1.227334235
isothreonic.acid,0.410708236,0.880987583,1.039541759
isoleucine,0.06919082,0.808049937,1.068191272
inosine,0.187191982,0.880987583,0.692883323
indole.3.lactate,0.831675009,0.959881424,0.963346815
indole.3.acetate,0.169628163,0.880987583,0.836911942
hypoxanthine,0.063906868,0.77703074,0.868810618
hydroxylamine,0.819287337,0.956810569,0.910153802
hydroxycarbamate.NIST,0.413806391,0.880987583,0.985719626
histidine,0.595465006,0.90183871,1.027769825
hippuric.acid,0.116959873,0.880987583,0.907146877
hexuronic.acid,0.457590588,0.90183871,0.664098613
hexitol,0.030826769,0.720058853,0.655757334
heptadecanoic.acid,0.857903934,0.964036379,1.047742413
guanosine,0.554308089,0.90183871,1.135951662
glycolic.acid,0.047418763,0.77703074,0.8791423
glycine,0.994869479,0.999609968,0.944862678
glycerol.alpha.phosphate,0.218405331,0.880987583,0.864864865
glycerol,0.265323046,0.880987583,0.987243465
glyceric.acid,0.592254704,0.90183871,1.158994885
glutamine,0.665350738,0.922609507,1.076184448
glutamic.acid,0.811412273,0.956810569,1.057846411
glucose,0.933536076,0.985031625,1.021415469
gluconic.acid,0.478605579,0.90183871,1.036334913
galactitol,0.323193657,0.880987583,1.043122677
fumaric.acid,0.228331388,0.880987583,1.188368336
fucose,0.586807598,0.90183871,0.904836193
erythronic.acid.lactone,0.990118984,0.999609968,0.980181668
erythritol,0.252521457,0.880987583,1.020841931
dodecanol,0.03260382,0.720058853,1.183175034
dehydroascorbic.acid,0.34410571,0.880987583,0.734728805
dehydroabietic.acid,0.159005077,0.880987583,0.787174721
cystine,0.187656163,0.880987583,0.795625644
cysteine,0.817125681,0.956810569,1.143010177
creatinine,0.370814261,0.880987583,0.958419958
conduritol.beta.epoxide,0.238821448,0.880987583,1.240938166
citrulline,0.811231813,0.956810569,1.034423408
citric.acid,0.301342366,0.880987583,1.057912713
cholesterol,0.72419456,0.944913633,0.985811161
caprylic.acid,0.741412288,0.956810569,1.023803799
capric.acid,0.505335464,0.90183871,1.144939966
beta.alanine,0.725092885,0.944913633,1.052677788
benzylalcohol,0.400793182,0.880987583,1.234711912
benzoic.acid,0.465740263,0.90183871,1.07823909
aspartic.acid,0.5039931,0.90183871,1.026571429
asparagine,0.023529072,0.720058853,1.120087336
arachidonic.acid,0.574253165,0.90183871,1.094967046
arachidic.acid,0.316607813,0.880987583,1.195339172
aminomalonate,0.596398909,0.90183871,1.048747298
alanine,0.457172026,0.90183871,0.999713067
adipic.acid,0.190338974,0.880987583,1.028205128
adenosine.5.monophosphate,0.758765878,0.956810569,0.882352941
adenosine,0.941021388,0.985031625,0.880872483
X6.deoxyglucitol,0.184356562,0.880987583,0.955069465
X4.hydroxybutyric.acid,0.846288415,0.963786106,0.983870968
X3.hydroxybutyric.acid,0.6066593,0.90183871,1.289641491
X3.6.anhydro.D.galactose,0.664853877,0.922609507,1.052343564
X2.ketoisocaproic.acid,0.071755126,0.809100905,0.56836799
X2.hydroxyglutaric.acid,0.135990972,0.880987583,0.721238938
X2.hydroxybutanoic.acid,0.583960243,0.90183871,1.057192476
X2.deoxytetronic.acid,0.177984384,0.880987583,0.809756098
X1.monopalmitin,0.4054523,0.880987583,0.913078798
X1.methylgalactose.NIST,0.94016985,0.985031625,0.586716966
X610256,0.929197096,0.985031625,1.21038961
X204994,0.590690643,0.90183871,1.0997151
X203812,0.88461205,0.974221687,1.10410744
X196901,0.784539511,0.956810569,0.938533277
X192876,0.981084344,0.999609968,0.927460682
X191802,0.714681495,0.942342132,1.065940367
X183508,0.214074563,0.880987583,1.554098361
X183433,0.098482313,0.880987583,1.082119817
X183139,0.548119701,0.90183871,0.87741686
X183115,0.019375591,0.720058853,0.739495798
X183049,0.671452267,0.922609507,0.976917528
X172624,0.202466578,0.880987583,1.093471602
X171564,0.278708733,0.880987583,1.016928159
X171303,0.60637866,0.90183871,1.03996125
X170232,0.501419534,0.90183871,0.764705882
X170069,0.488792797,0.90183871,0.87702165
X168759,0.380238638,0.880987583,0.977570093
X161878,0.314346393,0.880987583,0.957825371
X161875,0.627475265,0.916001837,0.990673575
X146277,0.851441561,0.963786106,0.948328267
X136398,0.817959253,0.956810569,1.097165992
X135619,0.708515236,0.940411333,1.172353962
X135260,0.228393386,0.880987583,1.067688378
X134336,0.50481819,0.90183871,0.992972743
X133612,0.318938861,0.880987583,1.268714012
X133605,0.531025949,0.90183871,1.089866157
X133340,0.373564868,0.880987583,1.080204778
X133242,0.169744361,0.880987583,1.087749783
X132976,0.024235618,0.720058853,0.7886873
X131620,0.553949511,0.90183871,1.067398616
X129225,0.692894531,0.932413628,0.888825623
X126423,0.991364758,0.999609968,1.099479468
X126354,0.064158501,0.77703074,0.660098522
X126345,0.003062021,0.720058853,1.319096509
X124996,0.385750954,0.880987583,0.776904067
X124903,0.3035923,0.880987583,1.007668559
X122191,0.245184722,0.880987583,1.421732114
X121890,0.403744116,0.880987583,1.060949299
X121468,0.291647616,0.880987583,1.295774648
X121467,0.237137666,0.880987583,1.145652174
X121002,0.292987629,0.880987583,1.087410307
X120744,0.655416285,0.922609507,1.110340343
X120562,0.349092011,0.880987583,0.887739294
X119167,0.811707462,0.956810569,1.002576904
X119129,0.925870112,0.985031625,1.014965001
X119054,0.802127009,0.956810569,1.052423343
X119026,0.339211003,0.880987583,0.784660767
X119023,0.945508989,0.985031625,0.888354701
X112556,0.659460641,0.922609507,1.074154068
X112530,0.133198911,0.880987583,0.917933131
X112487,0.523470258,0.90183871,1.081239041
X112264,0.188671482,0.880987583,0.694025974
X110570,0.531397202,0.90183871,1.153687316
X110501,0.854733856,0.963786106,1.285883397
X110321,0.466582642,0.90183871,1.035862069
X110183,0.992576157,0.999609968,0.981925489
X110170,0.22698391,0.880987583,1.228070175
X110013,0.365401686,0.880987583,1.250310302
X110008,0.556330578,0.90183871,0.967654987
X109386,0.514429334,0.90183871,0.958238421
X107960,0.966450274,0.999185482,0.909619993
X107276,0.830047488,0.959881424,1.132111597
X107274,0.46570525,0.90183871,1.023672425
X106936,0.755800546,0.956810569,1.135652174
X106697,0.404911824,0.880987583,1.172362556
X105450,0.998093779,0.999609968,1.001278772
X104123,0.126417229,0.880987583,0.744249914
X100730,0.161347165,0.880987583,1.108910891
X98101,0.056870801,0.77703074,0.615131579
X98027,0.497293163,0.90183871,0.8
X97891,0.999609968,0.999609968,0.928982726
X97884,0.32637926,0.880987583,0.996610169
X97708,0.638187976,0.919328053,0.941852118
X95410,0.456745371,0.90183871,1.104008667
X91421,0.941878462,0.985031625,1.143311209
X88502,0.307361266,0.880987583,1.032596271
X84721,0.341815103,0.880987583,1.065886383
X64712,0.24866731,0.880987583,0.861570248
X62263,0.24638651,0.880987583,1.53307393
X50367,0.9410166,0.985031625,0.897315436
X48428,0.171149079,0.880987583,1.088715401
X47492,0.984831138,0.999609968,0.937181664
X47358,0.497137618,0.90183871,1.03968254
X47221,0.779936731,0.956810569,1.351542952
X46292,0.107697577,0.880987583,1.026054003
X46272,0.979733829,0.999609968,1.102007374
X46128,0.265974614,0.880987583,0.911983033
X43734,0.95568296,0.99208993,0.900478469
X42525,0.63589989,0.919328053,1.281676413
X42187,0.049933945,0.77703074,1.040783034
X42003,0.469071957,0.90183871,1.037072243
X41989,0.677144593,0.922609507,0.855054811
X41985,0.920192213,0.985031625,1.055639098
X41811,0.294234695,0.880987583,1.085215606
X41808,0.102371326,0.880987583,1.127111826
X41683,0.887822821,0.974221687,1.006999125
X34146,0.122402503,0.880987583,0.719298246
X34089,0.232781887,0.880987583,0.752079867
X33462,0.293083519,0.880987583,0.898148148
X33415,0.172532222,0.880987583,1.010244287
X31962,0.968629351,0.999185482,0.871801052
X31559,0.19654145,0.880987583,2.398907104
X31554,0.707657275,0.940411333,0.973623853
X31408,0.023342479,0.720058853,1.070362785
X31359,0.80724701,0.956810569,0.977426637
X31285,0.710341282,0.940411333,0.960432282
X31223,0.351694729,0.880987583,0.802967848
X23635,0.160479224,0.880987583,1.060542623
X22863,0.204391274,0.880987583,0.950175131
X22444,0.321252211,0.880987583,1.023328149
X20297,0.921325676,0.985031625,0.690265487
X18488,0.598571408,0.90183871,0.90655885
X17664,0.457874857,0.90183871,1.272332169
X17651,0.473102709,0.90183871,1.002409639
X17541,0.405422413,0.880987583,1.065088757
X17068,0.189406128,0.880987583,1.040287103
X16794,0.179957921,0.880987583,1.231825525
X16788,0.613340821,0.903434453,0.945945946
X16572,0.836928707,0.960265569,1.077621932
X14736,0.063713574,0.77703074,1.446850394
X12444,0.236071397,0.880987583,0.850107066
X11523,0.609904995,0.902438613,0.792408066
X8270,0.522161069,0.90183871,0.699256718
X7490,0.800120967,0.956810569,1.141339001
X6767,0.199532572,0.880987583,1.165659008
X6646,0.688457708,0.932413628,0.828856964
X6376,0.508100402,0.90183871,1.108918129
X6066,0.204830127,0.880987583,1.026235354
X5990,0.401106101,0.880987583,1.025901943
X5930,0.195392934,0.880987583,1.360953462
X5837,0.759687694,0.956810569,1.084077772
X5691,0.096137211,0.880987583,0.905776515
X5483,0.944605652,0.985031625,1.074596774
X5471,0.198653708,0.880987583,1.288628472
X5396,0.591847597,0.90183871,1.058682466
X5346,0.57499215,0.90183871,1.005487596
X5276,0.090887677,0.880987583,0.752024503
X5269,0.725300678,0.944913633,1.015678776
X5259,0.287691276,0.880987583,0.897801545
X5085,0.536557393,0.90183871,1.161388971
X4986,0.797513817,0.956810569,1.05451448
X4945,0.169437761,0.880987583,0.717401842
X4937,0.507168618,0.90183871,0.969147005
X4929,0.010703178,0.720058853,0.793936406
X4898,0.407121452,0.880987583,0.908436214
X4887,0.400025894,0.880987583,1.015160703
X4871,0.540830517,0.90183871,1.568641884
X4863,0.037113158,0.75850016,0.340163934
X4793,0.296161248,0.880987583,1.075870647
X4746,0.510663821,0.90183871,1.196407186
X4600,0.379514931,0.880987583,0.810360777
X4579,0.208399454,0.880987583,1.105339454
X4577,0.586743998,0.90183871,1.144946809
X4546,0.625947336,0.916001837,0.894765993
X4543,0.75252189,0.956810569,1.01974268
X4536,0.398416076,0.880987583,0.996244945
X4531,0.870179362,0.969015024,0.921113689
X4219,0.60674164,0.90183871,1.089180328
X3465,0.328355597,0.880987583,1.199392713
X3381,0.294030093,0.880987583,0.93904209
X3228,0.008358878,0.720058853,1.360632184
X3029,0.263854418,0.880987583,0.602348993
X2936,0.509409867,0.90183871,1.040373622
X2806,0.89896149,0.983145174,0.810143043
X2575,0.945871346,0.985031625,1
X2476,0.27048036,0.880987583,1.120089981
X2233,0.797743663,0.956810569,0.960760999
X2097,0.795220799,0.956810569,0.9440588
X2061,0.460254339,0.90183871,1.045368464
X2001,0.046420166,0.77703074,0.680573664
X1996,0.160651855,0.880987583,0.878352118
X1981,0.194147658,0.880987583,0.92074891
X1941,0.032057541,0.720058853,1.203898051
X1912,0.367622438,0.880987583,0.953185498
X1878,0.062954923,0.77703074,1.150774398
X1875,0.586362442,0.90183871,1.027075169
X1704,0.394859992,0.880987583,0.850988343
X1700,0.542069911,0.90183871,0.971783296
X1029,0.007532891,0.720058853,1.243658069
X915,0.884200154,0.974221687,0.97008144
X892,0.692538265,0.932413628,1.383818121
X816,0.577478491,0.90183871,1.046885035
X812,0.401102511,0.880987583,0.895683453
X657,0.525234837,0.90183871,1.295454545
X592,0.434882268,0.90004115,1.12476489
X573,0.331207028,0.880987583,0.882626974
X473,0.299656089,0.880987583,0.920760697
X462,0.67123686,0.922609507,0.950460829
X458,0.255220657,0.880987583,0.643715573
X453,0.309829406,0.880987583,1.205573733
X443,0.258141694,0.880987583,1.210602971
X307,0.456708171,0.90183871,1.093300579
X299,0.033030223,0.720058853,0.694065126
X257,0.303763338,0.880987583,1.035037161
X137,0.145340678,0.880987583,1.060685774
X134,0.675768891,0.922609507,0.997802198
X110,0.88528085,0.974221687,0.982545962
X99,0.805253918,0.956810569,0.915795564
X98,0.778779188,0.956810569,0.949604184
X91,0.790125149,0.956810569,1.023809524
X62,0.971857564,0.999362967,1.050396499
X61,0.135344972,0.880987583,1.19031294
X54,0.399955455,0.880987583,0.940825928
X47,0.591650584,0.90183871,1.043791313
X39,0.800272332,0.956810569,1.01301342
